ivr_id,phone_number,ivr_result,vdn_aggregation,start_date,end_date,total_duration,customer_segment,ivr_language,steps_module,module_aggregation,document_type,document_identification,customer_phone,billing_account_id,masiva_lg,info_by_phone_lg,info_by_dni_lg,repeated_phone_24H,cause_recall_phone_24H
1671102231,zhlhG8+MeHxOwtBVzIcjGQ==,AGENT,TECH,15/12/2022 11:03:51,15/12/2022 11:04:23,32,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,zhlhG8+MeHxOwtBVzIcjGQ==,NULL,1,0,0,1,1
1670835382,SWvvjsiFfLH9YNmvwza9eg==,AGENT,TECH,12/12/2022 8:56:22,12/12/2022 8:57:05,43,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,SWvvjsiFfLH9YNmvwza9eg==,NULL,1,0,0,1,1
1671310402,GZGDzsGvzYB5orKFAfPXCA==,AGENT,TECH,17/12/2022 20:53:22,17/12/2022 20:54:26,64,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671392534,DHtcOTbcNhGYu1aN+k/WHQ==,AGENT,TECH,18/12/2022 19:42:14,18/12/2022 19:42:48,34,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671098308,OTZi7/Sq4WhGtnCDpQPJrw==,AGENT,TECH,15/12/2022 9:58:29,15/12/2022 9:58:56,27,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",PASSPORT,NULL,OTZi7/Sq4WhGtnCDpQPJrw==,NULL,1,0,0,1,1
1670881407,VWReGXb+JOXsb8WXcDgt0w==,AGENT,TECH,12/12/2022 21:43:29,12/12/2022 21:43:54,25,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,VWReGXb+JOXsb8WXcDgt0w==,NULL,1,0,0,1,1
1671017814,K1zMvNIIGdHJP+4pvZk7pQ==,AGENT,TECH,14/12/2022 11:36:54,14/12/2022 11:37:28,34,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671538746,QNbMZNdu3ysCViH3jLPWgg==,AGENT,TECH,20/12/2022 12:19:07,20/12/2022 12:19:37,30,B2B,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,QNbMZNdu3ysCViH3jLPWgg==,NULL,1,0,0,1,1
1671524604,Me8Jp4HDWTCS1mD+G2bs3Q==,AGENT,TECH,20/12/2022 8:23:24,20/12/2022 8:23:51,27,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,NULL,NULL,1,0,0,1,1
1671047706,TZuJ+ha36aEvCwbkU72ofg==,AGENT,TECH,14/12/2022 19:55:06,14/12/2022 19:55:37,31,B2C,ESP,1,"WELCOME,IDENTIFICACION,CQI,AVERIA_MASIVA,DEUDA,OPEN_QUESTION,AGENT,END",NULL,NULL,TZuJ+ha36aEvCwbkU72ofg==,NULL,1,0,0,1,1
